#CAMI Format for Binning
@Version:0.9.0
@SampleID:_SAMPLEID_
@@SEQUENCEID	BINID
MGYG000000002_1-MGYG000000002-1_89620_aligned_8_R_0_76020_1	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_80261_aligned_9_R_5_72125_67	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_64808_aligned_11_R_6_64836_16	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_88234_aligned_12_R_39_63553_6	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_83013_aligned_13_R_1_60393_1	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_25053_aligned_14_R_44_58554_48	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_87915_aligned_15_R_5_56013_22	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_65033_aligned_20_R_216_45458_769	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_71647_aligned_21_R_54_44961_1	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_1162_aligned_23_R_199_42505_18	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_33157_aligned_24_R_1_41990_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_54260_aligned_25_R_45_40761_5	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_48700_aligned_28_R_0_38852_19	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_32728_aligned_30_R_204_34265_2	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_83968_aligned_36_R_17_29444_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_15135_aligned_37_R_0_28733_2	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_44053_aligned_39_R_1_27618_11	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_19181_aligned_40_R_6_27273_1	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_15960_aligned_41_R_9_27221_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_26057_aligned_42_R_1_26747_32	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_6087_aligned_43_R_2_26556_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_65564_aligned_44_R_12_26464_14	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_68018_aligned_46_R_44_25838_41	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_9295_aligned_47_R_27_25726_3	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_42127_aligned_49_R_7_25586_184	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_71801_aligned_50_R_2_24344_3	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_63857_aligned_60_R_56_22011_45	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_4703_aligned_61_R_12_21850_3	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_10824_aligned_65_R_72_20911_1	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_2625_aligned_66_R_0_20051_18	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_1877_aligned_69_R_19_18410_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_69926_aligned_72_R_27_17317_12	../bins/metabat2/mags/bin.1.fa
