contigName	contigLen	totalAvgDepth	mgERR_sample0_aligned_reads.sort.bam	mgERR_sample0_aligned_reads.sort.bam-var
MGYG000000001_1-MGYG000000001-1_1015081_aligned_0_R_25_212132_8	208407	6.43605	6.43605	6.41944
MGYG000000001_1-MGYG000000001-1_1950107_aligned_1_R_245_193856_5	190743	6.48974	6.48974	6.37524
MGYG000000001_1-MGYG000000001-1_2867993_aligned_2_R_0_140577_0	138130	6.50088	6.50088	6.48772
MGYG000000001_1-MGYG000000001-1_2774720_aligned_3_R_1484_129768_14	128920	6.41195	6.41195	6.22311
MGYG000000001_1-MGYG000000001-1_2318539_aligned_4_R_19_124992_2	122770	6.454	6.454	6.48136
MGYG000000001_1-MGYG000000001-1_483667_aligned_5_R_28_96211_0	94395	6.45102	6.45102	6.33348
MGYG000000001_1-MGYG000000001-1_1424768_aligned_6_R_4_85334_12	83875	6.43222	6.43222	6.62292
MGYG000000001_1-MGYG000000001-1_181241_aligned_7_R_58_80127_0	78508	6.44194	6.44194	6.51804
MGYG000000002_1-MGYG000000002-1_89620_aligned_8_R_0_76020_1	74854	6.45064	6.45064	6.33954
MGYG000000002_1-MGYG000000002-1_80261_aligned_9_R_5_72125_67	71109	6.45808	6.45808	6.27723
MGYG000000001_1-MGYG000000001-1_2969612_aligned_10_R_0_66061_0	64654	6.42072	6.42072	6.56652
MGYG000000002_1-MGYG000000002-1_64808_aligned_11_R_6_64836_16	63741	6.47708	6.47708	6.90695
MGYG000000002_1-MGYG000000002-1_88234_aligned_12_R_39_63553_6	62671	6.43701	6.43701	6.3606
MGYG000000002_1-MGYG000000002-1_83013_aligned_13_R_1_60393_1	59376	6.47898	6.47898	6.02795
MGYG000000002_1-MGYG000000002-1_25053_aligned_14_R_44_58554_48	57734	6.45633	6.45633	6.66792
MGYG000000002_1-MGYG000000002-1_87915_aligned_15_R_5_56013_22	55154	6.44467	6.44467	6.96713
MGYG000000001_1-MGYG000000001-1_1005778_aligned_16_R_1_55787_0	54683	6.44032	6.44032	6.11952
MGYG000000001_1-MGYG000000001-1_2965824_aligned_17_R_1080_50705_10	50807	6.5216	6.5216	6.6308
MGYG000000001_1-MGYG000000001-1_852016_aligned_18_R_1_46220_2	45240	6.54761	6.54761	6.2292
MGYG000000001_1-MGYG000000001-1_688515_aligned_19_R_8_45957_2	45162	6.40584	6.40584	6.83413
MGYG000000002_1-MGYG000000002-1_65033_aligned_20_R_216_45458_769	45430	6.52985	6.52985	6.4118
MGYG000000002_1-MGYG000000002-1_71647_aligned_21_R_54_44961_1	44045	6.45382	6.45382	6.49216
MGYG000000001_1-MGYG000000001-1_1488309_aligned_22_R_19_42779_0	41927	6.49401	6.49401	6.25455
MGYG000000002_1-MGYG000000002-1_1162_aligned_23_R_199_42505_18	41935	6.45548	6.45548	6.39405
MGYG000000002_1-MGYG000000002-1_33157_aligned_24_R_1_41990_0	41370	6.50972	6.50972	6.55359
MGYG000000002_1-MGYG000000002-1_54260_aligned_25_R_45_40761_5	40087	6.52445	6.52445	6.77027
MGYG000000001_1-MGYG000000001-1_2953395_aligned_26_R_10_39337_2	38584	6.44426	6.44426	6.19124
MGYG000000001_1-MGYG000000001-1_3003282_aligned_27_R_35_39216_0	38622	6.38692	6.38692	6.148
MGYG000000002_1-MGYG000000002-1_48700_aligned_28_R_0_38852_19	38157	6.39756	6.39756	6.56135
MGYG000000001_1-MGYG000000001-1_2082759_aligned_29_R_30_38749_0	38034	6.472	6.472	6.18995
MGYG000000002_1-MGYG000000002-1_32728_aligned_30_R_204_34265_2	33738	6.44096	6.44096	6.55605
MGYG000000001_1-MGYG000000001-1_2913118_aligned_31_R_41_33068_1	32515	6.47626	6.47626	7.06573
MGYG000000001_1-MGYG000000001-1_3050021_aligned_32_R_18_32910_12	32248	6.54075	6.54075	6.73181
MGYG000000001_1-MGYG000000001-1_1998009_aligned_33_R_1_31248_6	30690	6.44469	6.44469	6.52191
MGYG000000001_1-MGYG000000001-1_698220_aligned_34_R_21_31014_10	30603	6.42068	6.42068	6.55207
MGYG000000001_1-MGYG000000001-1_1507114_aligned_35_R_16_30150_2	29806	6.50081	6.50081	6.13505
MGYG000000002_1-MGYG000000002-1_83968_aligned_36_R_17_29444_0	28795	6.60673	6.60673	6.60255
MGYG000000002_1-MGYG000000002-1_15135_aligned_37_R_0_28733_2	28221	6.37616	6.37616	6.56284
MGYG000000001_1-MGYG000000001-1_2975419_aligned_38_R_25_28319_3	27624	6.5263	6.5263	6.10557
MGYG000000002_1-MGYG000000002-1_44053_aligned_39_R_1_27618_11	27121	6.41146	6.41146	6.59109
MGYG000000002_1-MGYG000000002-1_19181_aligned_40_R_6_27273_1	26753	6.37534	6.37534	7.25053
MGYG000000002_1-MGYG000000002-1_15960_aligned_41_R_9_27221_0	26753	6.49282	6.49282	6.76865
MGYG000000002_1-MGYG000000002-1_26057_aligned_42_R_1_26747_32	26287	6.52717	6.52717	6.33644
MGYG000000002_1-MGYG000000002-1_6087_aligned_43_R_2_26556_0	25982	6.56989	6.56989	6.68767
MGYG000000002_1-MGYG000000002-1_65564_aligned_44_R_12_26464_14	26012	6.4692	6.4692	6.43507
MGYG000000001_1-MGYG000000001-1_2219585_aligned_45_R_1_26082_48	25655	6.5316	6.5316	6.43461
MGYG000000002_1-MGYG000000002-1_68018_aligned_46_R_44_25838_41	25340	6.53645	6.53645	6.59583
MGYG000000002_1-MGYG000000002-1_9295_aligned_47_R_27_25726_3	25193	6.5333	6.5333	7.00168
MGYG000000001_1-MGYG000000001-1_1861483_aligned_48_R_5_25689_0	25321	6.44388	6.44388	6.27705
MGYG000000002_1-MGYG000000002-1_42127_aligned_49_R_7_25586_184	25212	6.44556	6.44556	6.97491
MGYG000000002_1-MGYG000000002-1_71801_aligned_50_R_2_24344_3	23835	6.3237	6.3237	6.23675
